date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-03-19,1017,NA,0.5608335,NA,14.571429,NA,NA,NA
2021-03-19,1022,NA,0.26086200000000004,0.0383218,7,0.03477575,NA,4.4
2021-03-20,1017,NA,0.46706349999999996,NA,8,NA,NA,4
2021-03-20,1022,NA,0.221341,0.0093798,4.380952499999999,0.03474175,11,4.9
2021-03-21,1017,NA,0.4738635,NA,11.090909,NA,NA,NA
2021-03-21,1022,NA,0.217762,0.0650484,4.214286,0.039504250000000005,NA,7.4
2021-03-22,1017,NA,0.45238100000000003,NA,15.318182,NA,NA,NA
2021-03-22,1022,NA,0.2417855,0.076646,5.7907265,0.0424545,NA,8
2021-03-23,1017,NA,0.3694445,NA,11.454545,NA,NA,9.2
2021-03-23,1022,NA,0.1969285,0.014544000000000001,3.9047614999999998,0.03899225,23,9.1
2021-03-24,1017,NA,0.5011905,NA,16.5,NA,NA,NA
2021-03-24,1022,NA,0.236968,0.0638532,6.357143000000001,0.03856925,NA,8.9
2021-03-25,1017,NA,0.3170635,NA,8.909091,NA,NA,NA
2021-03-25,1022,NA,0.2225455,1.2575e-4,4.4411765,0.03576475,NA,6.4
2021-03-26,1017,NA,0.41865050000000004,NA,11.227273,NA,NA,5.1
2021-03-26,1022,NA,0.2041665,0.0013546,4.071429,0.039454,12,4.9
2021-03-27,1017,NA,0.6555555,NA,15.545455,NA,NA,NA
2021-03-27,1022,NA,0.262389,0.0687784,6.380952499999999,0.0376,NA,5.5
2021-03-28,1017,NA,0.7585225,NA,17.045455,NA,NA,NA
2021-03-28,1022,NA,0.291595,0.07426880000000001,8.6666665,0.040772749999999996,NA,6.9
2021-03-29,1017,NA,0.589286,NA,20.227273,NA,NA,9.3
2021-03-29,1022,NA,0.3121505,0.09213980000000001,9.3809525,0.03930975,NA,9
2021-03-30,1017,NA,0.4873015,NA,13.727273,NA,NA,NA
2021-03-30,1022,NA,0.2598115,0.033333,6.5,0.034850000000000006,NA,14.9
2021-03-31,1017,NA,0.4583335,NA,19.5,NA,NA,NA
2021-03-31,1022,NA,0.28886500000000004,0.0272566,8.142857,0.04269225,NA,8.1
2021-04-01,1017,NA,0.5936505,NA,23.409091,NA,NA,7.9
2021-04-01,1022,NA,0.325654,0.0687335,13.285714,0.04139275,25,7.7
2021-04-02,1017,NA,0.495238,NA,13.227273,NA,NA,NA
2021-04-02,1022,NA,0.27773000000000003,0.0809334,6.095238,0.0454745,NA,NA
2021-04-03,1017,NA,0.5515875,NA,9.727273,NA,NA,NA
2021-04-03,1022,NA,0.3054925,0.0575716,5.904762,0.04360475,NA,10.8
2021-04-04,1017,NA,0.604356,NA,11.454545,NA,NA,9.4
2021-04-04,1022,NA,0.28228549999999997,0.08117440000000001,5.904762,0.038954249999999996,20,11
2021-04-05,1017,NA,0.445635,NA,11.863636,NA,NA,NA
2021-04-05,1022,NA,0.2479125,0.0353556,5.952381,0.034245750000000005,NA,10.7
2021-04-06,1017,NA,0.397619,NA,11.227273,NA,NA,NA
2021-04-06,1022,NA,0.215881,0.067511,4.904762,0.03581925,NA,10
2021-04-07,1017,NA,0.5599205,NA,16.318182,NA,NA,10.9
2021-04-07,1022,NA,0.28777,0.0852226,7.47619,0.03963275,25,10.4
2021-04-08,1017,NA,0.4849205,NA,14.863636,NA,NA,NA
2021-04-08,1022,NA,0.265362,0.1352766,7.3,0.040536249999999996,NA,12.7
2021-04-09,1017,NA,0.47460349999999996,NA,11.863636,NA,NA,NA
2021-04-09,1022,NA,0.2677355,0.1096878,5.5,0.0417715,NA,13.7
